Date,Open,High,Low,Close,Adj Close,Volume
12-12-1980,0.128348,0.128906,0.128348,0.128348,0.098943,469033600
15-12-1980,0.12221,0.12221,0.121652,0.121652,0.093781,175884800
16-12-1980,0.113281,0.113281,0.112723,0.112723,0.086898,105728000
17-12-1980,0.115513,0.116071,0.115513,0.115513,0.089049,86441600
18-12-1980,0.118862,0.11942,0.118862,0.118862,0.09163,73449600
19-12-1980,0.126116,0.126674,0.126116,0.126116,0.097223,48630400
22-12-1980,0.132254,0.132813,0.132254,0.132254,0.101954,37363200
23-12-1980,0.137835,0.138393,0.137835,0.137835,0.106257,46950400
24-12-1980,0.145089,0.145647,0.145089,0.145089,0.111849,48003200
26-12-1980,0.158482,0.15904,0.158482,0.158482,0.122173,55574400
29-12-1980,0.160714,0.161272,0.160714,0.160714,0.123894,93161600
30-12-1980,0.157366,0.157366,0.156808,0.156808,0.120883,68880000
31-12-1980,0.152902,0.152902,0.152344,0.152344,0.117442,35750400
02-01-1981,0.154018,0.155134,0.154018,0.154018,0.118732,21660800
05-01-1981,0.151228,0.151228,0.15067,0.15067,0.116151,35728000
06-01-1981,0.144531,0.144531,0.143973,0.143973,0.110989,45158400
07-01-1981,0.138393,0.138393,0.137835,0.137835,0.106257,55686400
08-01-1981,0.135603,0.135603,0.135045,0.135045,0.104106,39827200
09-01-1981,0.142299,0.142857,0.142299,0.142299,0.109698,21504000
12-01-1981,0.142299,0.142299,0.141183,0.141183,0.108838,23699200
13-01-1981,0.136719,0.136719,0.136161,0.136161,0.104966,23049600
14-01-1981,0.136719,0.137277,0.136719,0.136719,0.105396,14291200
15-01-1981,0.139509,0.140625,0.139509,0.139509,0.107547,14067200
16-01-1981,0.138951,0.138951,0.138393,0.138393,0.106687,13395200
19-01-1981,0.146763,0.147321,0.146763,0.146763,0.113139,41574400
20-01-1981,0.142857,0.142857,0.142299,0.142299,0.109698,30083200
21-01-1981,0.145089,0.146205,0.145089,0.145089,0.111849,15904000
22-01-1981,0.146763,0.147879,0.146763,0.146763,0.113139,35548800
23-01-1981,0.146763,0.147321,0.146205,0.146205,0.112709,11222400
26-01-1981,0.144531,0.144531,0.143973,0.143973,0.110989,24640000
27-01-1981,0.143973,0.143973,0.142857,0.142857,0.110128,23699200
28-01-1981,0.138951,0.138951,0.138393,0.138393,0.106687,28156800
29-01-1981,0.133929,0.133929,0.133371,0.133371,0.102815,43904000
30-01-1981,0.127232,0.127232,0.126116,0.126116,0.097223,46188800
02-02-1981,0.11942,0.11942,0.118862,0.118862,0.09163,23766400
03-02-1981,0.123326,0.123884,0.123326,0.123326,0.095072,19152000
04-02-1981,0.12779,0.128348,0.12779,0.12779,0.098513,27865600
05-02-1981,0.12779,0.128906,0.12779,0.12779,0.098513,7929600
06-02-1981,0.128348,0.128906,0.128348,0.128348,0.098943,13865600
09-02-1981,0.122768,0.122768,0.121652,0.121652,0.093781,16755200
10-02-1981,0.121652,0.12221,0.121652,0.121652,0.093781,18345600
11-02-1981,0.118304,0.118304,0.117746,0.117746,0.09077,13843200
12-02-1981,0.117188,0.117188,0.116629,0.116629,0.089909,14560000
13-02-1981,0.114955,0.114955,0.113839,0.113839,0.087758,11155200
17-02-1981,0.116629,0.117188,0.116629,0.116629,0.089909,12275200
18-02-1981,0.121652,0.122768,0.121652,0.121652,0.093781,19241600
19-02-1981,0.114955,0.114955,0.114397,0.114397,0.088188,22310400
20-02-1981,0.108817,0.108817,0.108259,0.108259,0.083457,24371200
23-02-1981,0.109933,0.110491,0.109933,0.109933,0.084747,14112000
24-02-1981,0.107143,0.107143,0.106027,0.106027,0.081736,16979200
25-02-1981,0.112723,0.113281,0.112723,0.112723,0.086898,19488000
26-02-1981,0.114397,0.114955,0.114397,0.114397,0.088188,10841600
27-02-1981,0.118304,0.11942,0.118304,0.118304,0.0912,14761600
02-03-1981,0.118862,0.11942,0.118862,0.118862,0.09163,11760000
03-03-1981,0.117746,0.117746,0.117188,0.117188,0.09034,16172800
04-03-1981,0.116629,0.116629,0.116071,0.116071,0.089479,13708800
05-03-1981,0.116071,0.116071,0.115513,0.115513,0.089049,5376000
06-03-1981,0.115513,0.115513,0.114397,0.114397,0.088188,11603200
09-03-1981,0.106027,0.106027,0.105469,0.105469,0.081306,15321600
10-03-1981,0.101004,0.101004,0.100446,0.100446,0.077434,28380800
11-03-1981,0.097656,0.097656,0.09654,0.09654,0.074422,29859200
12-03-1981,0.100446,0.101004,0.100446,0.100446,0.077434,59248000
13-03-1981,0.099888,0.099888,0.09933,0.09933,0.076573,231302400
